-2079.297971	340.610295	2.774201
-2079.765336	340.810125	2.774969
-2080.241356	340.987752	2.779175
-2080.734685	341.17648	2.786087
-2081.21936	341.354107	2.79586
-2081.71269	341.531734	2.808514
-2082.214674	341.698259	2.823663
-2082.716659	341.864784	2.838429
-2083.201333	342.009106	2.853386
-2083.720628	342.153427	2.872184
-2084.144718	342.275546	2.891155
-2084.534189	342.364359	2.910337
-2084.949624	342.464274	2.93142
-2085.38237	342.553087	2.951945
-2085.910319	342.653002	2.97151
-2086.455578	342.741816	2.986468
-2087.018147	342.819527	2.997202
-2087.520131	342.897239	3.004288
-2088.039426	342.963849	3.009471
-2088.55872	343.041561	3.013119
-2089.103979	343.108171	3.015039
-2089.657893	343.174781	3.014847
-2090.246427	343.252492	3.012927
-2090.843615	343.341306	3.009087
-2091.3456	343.407916	3.003712
-2091.873549	343.485627	2.996626
-2092.401498	343.563339	2.987602
-2092.946757	343.652153	2.975909
-2093.500671	343.752068	2.962103
-2094.06324	343.851983	2.946378
-2094.634464	343.974101	2.930286
-2095.222998	344.107321	2.9136
-2095.820186	344.251643	2.897107
-2096.426029	344.407066	2.881381
-2096.919359	344.540286	2.869688
-2097.421344	344.684608	2.858186
-2097.931983	344.828929	2.846684
-2098.433968	344.984353	2.835549
-2098.953262	345.150878	2.824623
-2099.463901	345.328504	2.814466
-2099.983196	345.506131	2.804884
-2100.50249	345.69486	2.795284
-2101.021784	345.883588	2.785895
-2101.549734	346.083418	2.776313
-2102.077683	346.283248	2.766137
-2102.605632	346.49418	2.75502
-2103.133581	346.716213	2.743134
-2103.661531	346.938246	2.730864
-2104.18948	347.171381	2.718595
-2104.708774	347.415618	2.706517
-2105.236724	347.659855	2.694614
-2105.764673	347.915193	2.683304
-2106.283967	348.181633	2.672186
-2106.803262	348.448073	2.661261
-2107.331211	348.725615	2.650143
-2107.850505	349.003157	2.6392
-2108.369799	349.2918	2.628274
-2108.889094	349.591545	2.617348
-2109.399733	349.89129	2.606806
-2109.919028	350.202137	2.596439
-2110.429667	350.512984	2.586665
-2110.948961	350.834932	2.577083
-2111.459601	351.167982	2.56806
